article_number,article_header,content
1,Article premier :,"Les articles du présent code sont d’ordre public, sauf disposition contraire."
2,Art. 2 :,Les immeubles et les droits fonciers sont soumis à des règles générales qui sont l’objet du présent code. Les règles particulières à certains immeubles et droits fon- ciers sont établies sous les titres relatifs à chacun d’eux et par des lois spéciales.
3,Art. 3 :,Le présent code a pour objet de déterminer les règles et les principes fondamentaux applicables en matière foncière et domaniale et de régir l’organisation et le fonc- tionnement du régime foncier et domanial en République togolaise.
4,Art. 4 :,Les dispositions du présent code sont applicables aux différents droits réels immobiliers. Elles sont en outre applicables : 1- aux domaines public et privé de l’Etat et des collectivités territoriales ; 2- au domaine foncier national dans sa consistance à la date de la publication au
5,Art. 5 :,"Le régime foncier en vigueur en République togolaise est celui de l’immatriculation des immeubles, déterminé par les dispositions du titre III du présent code. Il régit l’ensemble des terres rurales, périurbaines et urbaines et repose sur la publication sur des livres fonciers. SOUS-TITRE II : DES PRINCIPES GENERAUX"
6,Art. 6 :,"En République togolaise, l’Etat détient le territoire national en vue : 1- de la préservation de son intégrité ; 2- de la garantie du droit de propriété de l’Etat et des collectivités territoriales, des personnes physiques et des personnes morales de droit privé acquis suivant les lois et règlements ; 3- de la garantie du droit de propriété des personnes physiques et des collectivités acquis suivant les règles coutumières ; EPUBLIQUE TOGOLAISE 4- de la garantie de son utilisation et de sa mise en valeur durables."
7,Art. 7 :,"Nul ne peut être contraint de céder sa propriété ou ses droits réels immobiliers, si ce n’est pour la mise en œuvre des politiques de développement ou pour cause d’utilité publique, et moyennant, dans tous les cas, une juste et préalable indemnité."
8,Art. 8 :,"L’Etat et les collectivités territoriales, en tant que garants de l’intérêt général, doivent : 1- assurer un accès équitable aux terres pour l’ensemble des acteurs, personnes physiques et personnes morales de droit public et de droit privé ; 2- sécuriser les droits réels immobiliers établis ou acquis selon la coutume ; 3- organiser la reconnaissance juridique effective des droits fonciers locaux ou coutumiers légitimes des populations ; 4- lutter contre la spéculation foncière en milieu urbain, périurbain et rural et favoriser la mise en valeur effective des terres pour le bien-être des populations ; 5- veiller à l’exploitation durable des terres dans le respect des intérêts des générations présentes et futures ; 6- lutter contre le morcellement anarchique et abusif des terres ; 7- veiller de manière générale à la protection des intérêts nationaux et à la préservation du patrimoine foncier national ; 8- veiller au respect de l’égalité de l’homme et de la femme dans l’accès au foncier. SOUS-TITRE III : DES DEFINITIONS"
9,Art. 9 :,"Pour l’application du présent code, on entend par : 1. abus : faire un usage excessif d’une prérogative juridique ; 2. abusus : droit pour un propriétaire de disposer d’une chose par tous les actes matériels ou juridiques de trans- formation, de consommation, de destruction, d’aliénation ou d’abandon ; 3. affermage : location d’un bien rural immobilier moyennant payement d’un loyer ou fermage ; 4. agence : Agence Nationale du Domaine et du Foncier (ANDF) ;"
10,Art. 10 :,"La terre fait l’objet d’une politique dite politique foncière nationale. Cette politique détermine les principes : 1- applicables à la propriété, à l’accès à la propriété foncière, à l’utilisation des ressources foncières ; 2- de nature à améliorer la productivité et la contribu- tion des ressources foncières au développement social, économique, politique et environnemental ; 3- de nature à favoriser la réduction de la pauvreté."
11,Art. 11 :,"En matière de politique foncière, les compétences de la Commission Interministérielle de la Réforme Foncière et Domaniale (CIRFD) et de l’Agence Nationale du Domaine et du Foncier (ANDF), prévues respectivement par les articles 16 et suivants et 19 et suivants du présent code sont réparties de la manière suivante : 1- la CIRFD apporte son concours à l’élaboration du projet de déclaration de politique foncière nationale et les projets de textes juridiques généraux de mise en œuvre de cette politique ; 2- l’ANDF participe à la mise en œuvre de la politique foncière nationale."
12,Art. 12 :,"Le gouvernement définit, avec la participation des parties prenantes au développement, notamment les popu- lations rurales, les femmes, les jeunes, et autres groupes vulnérables, la politique foncière nationale et veille à sa mise en œuvre effective. CHAPITRE IER : DES ORIENTATIONS DE LA POLITIQUE FONCIERE NATIONALE"
