"numero","titre","chapitre","section","contenu"
"1","DISPOSMONS GENERALES","De l'infraction","De la loi pénale","Les infractions pénales sont classées, 'Suivantleur gravité, en crimes, délits et contraventions. 1) les crimes sont punis de peines criminelles, 2) les délits sont punis de peines correctionnelles, 3) les-contraventions sont punies de peines de police."
"2","DISPOSMONS GENERALES","De l'infraction","De la loi pénale","La loi détermine les crimes et les délits et fixe les peines applicables à leurs auteurs. Le règlement détermine les contraventions et fixe, dans les limites et 'Selon les distinctions établies par la loi, les peines applicables aux contrevenants."
"3","DISPOSMONS GENERALES","De l'infraction","De la loi pénale","Nul ne peut être poursuivi ou puni pour un crime ou pour un délit dont les éléments ne sont pas définis par la loi, ou pour une contravention dont les éléments ne sont pas définis par le règlement. Nul ne peut être puni d'une peine qui n'est pas prévue par la loi, si l'infraction est un crime ou un délit, ou par le règlement, si l'infraction est une contravention. Nul ne peut être soumis à des mesures de sûreté qui ne sont pas définies par la loi."
"4","DISPOSMONS GENERALES","De l'infraction","De la loi pénale","Les dispositions pénales 'Sontd'interprétation stricte. Lorsqu'une disposition pénale est ambiguë, son interprétation se fait en faveur de la personne qui fait l'objet de poursuites."
"5","DISPOSMONS GENERALES","De l'infraction","De l'application de la loi pénale dans l'espace","Les juridictions pénales sont compétentes pour interpréter les actes administratifs, réglementaires ou individuels et pour en apprécier la légalité lorsque la solution du procès pénal qui leur est soumis en dépend. Cette interprétation ne vaut que pour l'espèce."
"6","DISPOSMONS GENERALES","De l'infraction","De l'application de la loi pénale dans l'espace","La loi pénale togolaise est applicable à toute infraction commise sur le territoire togolais, y compris : 1) l'espace terrestre délimité par les frontières du Togo; 2) les eaux territoriales du Togo; 3) l'espace aérien au-dessus de l'espace terrestre et des eaux territoriales du Togo; 4) les navires et aéronefs immatriculés confonnément à la législation togolaise ou les plates-formes fixes situées sur le plateau continental du Togo."
"7","DISPOSMONS GENERALES","De l'infraction","De l'application de la loi pénale dans l'espace","La loi pénale togolaise n'est pas applicable aux infractions commises à bord des vaisseaux militaires étrangers naviguant ou stationnant dans les eaux territoriales togolaises. La loi pénale togolaise ne s'applique pas à l'infraction commise à bord par un membre de l'équipage ou passager d'un navire ou aéronef étranger, au préjudice d'un autre membre de l'équipage ou passager à l'intérieur des eaux territoriales ou de l'espace aérien togolais, sauf dans les cas suivants : 1) l'intervention des autorités togolaises a été sollicitée; 2) l'infraction a troublé l'ordre public; 3) l'auteur ou la victime de l'infraction est togolais."
"8","DISPOSMONS GENERALES","De l'infraction","De l'application de la loi pénale dans l'espace","L'infraction est réputée commise au Togo si une partie au moins des actes qui la 'constituent ou les faits de complicité de l'action principale ont été accomplis au Togo ou que des dommages consécutifs à cette infraction ont été subis en tout ou partie sur le territoire togolais. La tentative est réputée commise à l'endroit où est commis le fait qui constitue le commencement d'exécution au sens de l'article 46 du présent code. La loi pénale togolaise est applicable à quiconque s'est rendu coupable sur le territoire de la République, comme complice d'un crime ou d'un délit commis à l'étranger si, et sauf autrement disposé par le présent code, le crime ou le délit est puni à la fois par la loi togolaise et la loi étrangère et s'il a été constaté par une décision définitive de la juridiction étrangère."
"9","DISPOSMONS GENERALES","De l'infraction","De l'application de la loi pénale dans l'espace","La loi pénale togolaise est applicable à tout crime commis à l'étranger par un togolais. Elle est également applicable à tout délit commis à l'étranger par un togolais si le fait est également puni par la loi du pays où il a été commis, sauf autrement disposé par le présent code. fi en est de même si le prévenu n'a acquis la nationalité togolaise que postérieurement au fait poursuivi. La poursuite ne peut être intentée que par requête du ministère public sur la plainte de la victime ou la dénonciation des faits par l'autorité du pays où ils ont été commis."
"10","DISPOSMONS GENERALES","De l'infraction","De l'application de la loi pénale dans l'espace","La loi pénale togolaise est applicable à tout crime ainsi qu'à tout délit commis par un togolais ou par un étranger hors du territoire de la République dès lors que la victime est de nationalité togolaise au moment de l'infraction."
"11","DISPOSMONS GENERALES","De l'infraction","De l'application de la loi pénale dans le temps","La loi pénale togolaise s'applique également aux étrangers qui, hors du territoire de la République, se sont rendus coupables comme auteurs ou complices d'infractions contre la sécurité de l'Etat, de contrefaçon du sceau de l'Etat, de fausse monnaie, lorsqu'ils ont pu être arrêtés au Togo ou régulièrement extradés."
"12","DISPOSMONS GENERALES","De l'infraction","De l'application de la loi pénale dans le temps","Toute disposition pénale nouvelle moins sévère que l'ancienne bénéficie aux auteurs d'infractions antérieures non encore jugées au jour de son entrée en vigueur. Lorsque la loi nouvelle est plus sévère que l'ancienne, les infractions commises avant l'entrée en vigueur de la disposition pénale nouvelle continuent à être jugées conformément à la loi ancienne."
"13","DISPOSMONS GENERALES","De l'infraction","De l'application de la loi pénale dans le temps","Sont soumises à un effet immédiat dès leur entrée en vigueur : 1) les lois de compétence et d'organisation judiciaire tant qu'un jugement au fond n'a pas été rendu en première instance ; 2) les lois fixant les modalités des poursuites et les formes de la procédure ; 3) les lois relatives au régime d'exécution et d'application des peines; toutefois, ces lois, lorsqu'elles ont pour résultat de rendre plus sévères les peines prononcées par la décision de condamnation, nesont applicables qu'aux condamnations prononcées pour des faits commis postérieurement à leur entrée en vigueur ; 4) lorsque les prescriptions ne sont pas acquises, les .lois relatives à la prescription de l'action publique et à la prescription des peines, sauf quand elles ont pour résultat d'aggraver la situation de l'intéressé."
"14","DISPOSMONS GENERALES","De l'infraction","Des dispositions générales","Toute disposition pénale nouvelle prévoyant une mesure de sûreté est immédiatement applicable aux infractions qui n'ont pas fait l'objet d'une condamnation devenue définitive même dans le cas où la législation ancienne prévoyait l'application d'une peine en lieu et place de la mesure de sûreté, A l'exclusion d'une condamnation résultant d'une décision par défaut, une condamnation est définitive lorsqu'elle résulte d'une décision qui n'est pas ou n'est plus susceptible de la part du ministère public, du condamné ou de la partie civile d'une voie de recours ordinaire ou extraordinaire. Les recours sont soumis aux règles de forme en vigueur au jour où ils sont exercés. Chapitre fi : De la responsabilité pénale"
"15","DISPOSMONS GENERALES","De l'infraction","Des dispositions générales","On ne peut être responsable pénalement que de ses propres faits, actes ou omissions."
"16","DISPOSMONS GENERALES","De l'infraction","Des dispositions générales","Est auteur de l'infraction la personne qui : 1) commet matériellement les faits incriminés ou fait appel à un être pénalement irresponsable pour la commettre ou contraint sciemment autrui à la commettre ; 2) tente de commettre un crime ou, dans les cas prévus par la loi, un délit."
"17","DISPOSMONS GENERALES","De l'infraction","Des faits justificatifs","Il n'y a point de crime ou de délit sans intention de le commettre. Toutefois, lorsque la loi le prévoit, il y a délit en cas de mise en danger délibérée de la personne d'autrui. Il y a également délit, lorsque la loi le prévoit, en cas de faute d'imprudence, de négligence ou de manquement à une obligation de prudence ou de sécurité prévue par la loi ou le règlement, s'il est établi que l'auteur des faits n'a pas accompli les diligences normales compte tenu, le cas échéant, de la nature de ses missions ou de ses fonctions, de ses compétences ainsi que du pouvoir et des moyens dont il disposait. D~ le cas prévu par l'alinéa qui précède, les personnes physiques qui n'ont p$S ~ directement le dommage, mais qui ont créé ou contribué à créer la situation qui a pennis la réalisation du dommage ou qui n'ont pas pris les mesures permettant de l'éviter, sont responsables pénalement, s'il est établi qu'elles ont, soit violé .de façon manifestement délibérée une obligation particulière de prudence ou de sécurité prévue par la loi ou le règlement, soit commis une faute caractérisée et qui exposait autrui à un risque d'une particulière gravité qu'elles ne pouvaient ignorer. Il n'y a point de contravention en cas de force majeure."
"18","DISPOSMONS GENERALES","De l'infraction","Des faits justificatifs","Les faits justificatifs sont: 1) la légitime défense ; 2) l'ordre de la loi et le commandement de l'autorité légitime; 3) l'état de nécessité. Paragraphe 1: De la légitime défense"
"19","DISPOSMONS GENERALES","De l'infraction","Des faits justificatifs","N'est pas pénalement responsable la personne qui, devant une atteinte injustifiée: envers elle-même ou autrui, commet, dans le même temps, un acte commandé par la nécessité de la légitime défense d'elle-même ou d'autrui, sauf s'il y a disproportion entre les moyens de défense employés et la gravité de l'atteinte."
"20","DISPOSMONS GENERALES","De l'infraction","Des faits justificatifs","N'est pas pénalement responsable la personne qui, pour interrompre l'exécution d'un crime ou d'un délit contre un bien, commet un acte de défense, autre qu'un homicide volontaire, lorsque cet acte est strictement nécessaire au but poursuivi dès lors que les moyens employés sont proportionnés à la gravité de l'infraction. ."
"21","DISPOSMONS GENERALES","De l'infraction","Des faits justificatifs","Est présumé avoir agi en état de légitime défense celui qui commet l'infraction: 1) pour repousser, de nuit, l'entrée par escalade, effraction, violence ou ruse dans un lieu habité, dans un magasin, dans un bâtiment d'exploitation ou dans toute autre dépendance d'un lieu loué; 2) pour se défendre contre les auteurs de vols ou de pillages exécutés avec violence. Paragraphe 2: De l'ordre de la loi et du commandement de l'autorité légitime"
"22","DISPOSMONS GENERALES","De l'infraction","Des faits justificatifs","N'est pas pénalement responsable la personne qui commet un acte prescrit ou autorisé par des dispositions législatives ou réglementaires."
"23","DISPOSMONS GENERALES","De l'infraction","Des faits justificatifs","N'est pas pénalement responsable la personne qui commet un acte commandé par l'autorité .légitime, sauf si cet acte est manifestement illégal. Paragraphe 3: De l'état de nécessité"
"24","DISPOSMONS GENERALES","De l'infraction","Des causes d'irresponsabilité pénale","N'est pas pénalement responsable la personne qui, face à un danger actuel ou imminent qui la menace ou qui menace autrui ou un bien, commet un acte nécessaire à sa sauvegarde, celle d'autrui ou du bien, saufs'il y a disproportion entre les moyens employés et la gravité deIa menace."
"2","DISPOSMONS GENERALES","De l'infraction","Des causes d'irresponsabilité pénale","S : Les causes d'irresponsabilité pénale sont: 1) l'altération des facultés mentales ; 2) la contrainte ; 3) l'erreur. Paragraphe! : De l'altération des facultés mentales"
"26","DISPOSMONS GENERALES","De l'infraction","Des causes d'irresponsabilité pénale","N'est pas pénalement responsable la personne qui était atteinte, au moment des faits, d'un trouble psychique ou neuropsychique ayant aboli son discernement ou le contrôle de ses actes. La personne qui était atteinte, au moment des faits, d'un trouble psychique ou neuropsychique ayant altéré son discernement ou entravé le contrôle de ses actes demeure punissable; toutefois, la juridiction tient compte de cette circonstance lorsqu'elle détermine la peine et en fixe le régime. Paragraphe 2 : De la contrainte"
"27","DISPOSMONS GENERALES","De l'infraction","Des causes d'irresponsabilité pénale","n n'y a pas de responsabilité pénale lorsque l'auteur de l'infraction a agi sous l'empire de la contrainte ou d'urie force à laquelle il n'a pu résister. Paragraphe 3 : De l'erreur"
"28","DISPOSMONS GENERALES","De l'infraction","Des causes d'atténuation de la responsabilité pénale","li n'y a pas de responsabilité pénale lorsque l'auteur de l'inftactionjustifie avoir cru, par une erreur sur le droit qu'il n'était pas en mesure d'éviter, pouvoir légitimement accomplir l'acte."
"29","DISPOSMONS GENERALES","De l'infraction","Des causes d'atténuation de la responsabilité pénale","Les causes d'atténuation de la responsabilité pénale sont: 1) les excuses absolutoires ; 2) les excuses atténuantes; 3) la minorité ; 4) les circonstances atténuantes. Paragraphe 1: Des excuses absolutoires"
"30","DISPOSMONS GENERALES","De l'infraction","Des causes d'atténuation de la responsabilité pénale","Constitue une excuse absolutoire toute cause limitativement prévue et définie par la loi et dont l'admission, sans faire disparaître l'infraction, entraine dispense ou exemption de la peine."
"31","DISPOSMONS GENERALES","De l'infraction","Des causes d'atténuation de la responsabilité pénale","Les excuses absolutoires sont: 1) l'excuse du dénonciateur ayant participé comme auteur ou complice aux infractions contre la sécurité de l'Etat, aux faux témoignages, aux contrefaçons des sceaux de l'Etat, timbres ou billets de banque, aux groupements de malfaiteurs, aux destructions par explosifs; 2) l'excuse des rebelles repentants bénéficiant à ceux qui, ayant fait partie d'une bande armée sans y exercer aucun commandement et sans y remplir aucun emploi, ni fonction, se sont retirés au premier avertissement des autorités civiles ou militaires ou se sont rendus à ces autorités; 3) l'excuse facultative pour les instigateurs ou organisateurs d'un rassemblement illicite, ainsi que pour les participants à ce rassemblement. Paragraphe 2 : Des excuses atténuantes"
"32","DISPOSMONS GENERALES","De l'infraction","Des causes d'atténuation de la responsabilité pénale","Constitue une excuse atténuante toute cause limitativement prévue et définie par la loi et dont l'admission, sans faire disparaître l'infraction, entraîne une atténuation obligatoire de la peine encourue."
"33","DISPOSMONS GENERALES","De l'infraction","Des causes d'atténuation de la responsabilité pénale","L'homicide et les violences volontaires sont excusables : 1) s'ils ont été provoqués par des violences ou menaces graves contre les personnes; 2) s'ils ont été commis en repoussant l'escalade et l'effraction d'un lieu habité ou de ses dépendances ; 3) s'ils ont été commis par un époux sur son conjoint et le complice de celui-ci au moment où Il les a surpris en flagrant délit d'adultère."
"34","DISPOSMONS GENERALES","De l'infraction","Des causes d'atténuation de la responsabilité pénale","Lorsqu'un fait d'excuse atténuante est établi, les peines principales encourues sont réduites comme suit: 1) s'il s'agit d'un crime, la peine ne peut excéder cinq (05) ans d'emprisonnement; 2) s'il s'agit d'un délit, la peine ne peut excéder six (06) mois. Paragraphe 3 : De la minorité pénale"
"3","DISPOSMONS GENERALES","De l'infraction","Des causes d'atténuation de la responsabilité pénale","S: Les enfants âgés de moins de quatorze (14) ans ne sont pas pénalement responsables. Le juge des enfants et le tribunal pour enfants peuvent prendre à leur égard, sur réquisition du ministère public, des mesures de protection, d'assistance et d'éducation, notamment: 1) remettre l'enfant, pour la durée qu'ils déterminent, à un établissement d'éducation, de formation professionnelle ou de soins ; 2) remettre l'enfant à ses parents ou à une personne digne de confiance en le plaçant pour la durée qu'il détermine sous le régime de la liberté surveillée ; 3) admonester l'enfant en lui indiquant un acte réparateur à accomplir ; 4) prononcer une amende en rapport avec les ressources de l'enfant et de ses parents qui ne peut, en aucun cas, dépasser la moitié du taux de l'amende applicable pour l'infraction poursuivie à un prévenu majeur. La durée de la mesure de protection, d'assistance et d'éducation prise ne peut aller au-delà d'un (01) an après la majorité de l'enfant. . Si l'infraction est qualifiée de crime ou si l'enfant est en état de récidive après avoir bénéficié de mesures de protection, d'assistance et d'éducation, le tribunal pour enfants peut, par une décision spécialement motivée, prononcer une peine d'emprisonnement contre l'enfant ayant dépassé l'âge de quatorze (14) ans au jour du jugement, sans que cette peine puisse excéder la moitié du maximum applicable aux délinquants majeurs ou dépasser un total de dix (l0) ans de réclusion criminelle. .Paragraphe 4 : Des circonstances atténuantes"
"36","DISPOSMONS GENERALES","De l'infraction","Des causes d'atténuation de la responsabilité pénale","Dans l'application de Ia loi pénale, le juge tient compte des nécessités de l'ordre public, des circonstances particulières de la cause, de la personnalité du prévenu et, le cas échéant, de ses charges familiales et de son intégration au milieu social."
"37","DISPOSMONS GENERALES","De l'infraction","Des causes d'atténuation de la responsabilité pénale","Lorsque le juge accorde le bénéfice des circonstances atténuantes, sauf dans les cas où la loi les exclut formellement, la peine principale est réduite comme suit: 1) jusqu'à la moitié de la peine d'emprisonnement encourue pour les crimes passibles de réclusion à temps, sans dépasser vingt (20) ans de réclusion; 2) jusqu'à six (06) mois d'emprisonnement si le délit est passible de trois (03) ans au moins d'emprisonnement ; 3) jusqu'au minimum des peines de police pour les autres délits."
"38","DISPOSMONS GENERALES","De l'infraction","Du cumul d'infractions","Le bénéfice des circonstances atténuantes permet de substituer l'amende à la peine d'emprisonnement et de dispenser de l'amende lorsque la loi enprévoit l'application cumulativement avec l'emprisonnement."
"39","DISPOSMONS GENERALES","De l'infraction","Du cumul d'infractions","Nul ne peut être puni deux (02) fois pour les mêmes faits. Lorsque plusieurs crimes et délits font l'objet d'une même poursuite et ont été commis par une même personne qui n'était pas en état de récidive, les peines encourues pour chacune de ces infractions ne se cumulent pas. Seules sont prononcées les peines et mesures de sûreté les plus fortes."
"40","DISPOSMONS GENERALES","De l'infraction","Du cumul d'infractions","Lorsqu'une personne fait l'objet de plusieurs poursuites, le juge saisi de la seconde poursuite peut ordonner la confusion des peines principales. Dans ce cas, les peines principales prononcées pour l'infraction qui a été la plus sévèrement réprimée sont exécutées. Si le juge omet de statuer sur la confusion ou si, saisi par le condamné d'une requête postérieure à la décision rendue, il refuse de l'accorder, les peines principales s'exécutent cumulativement sans pouvoir excéder au total le maximum de la peine encourue pour le fait le plus sévèrement puni."
"41","DISPOSMONS GENERALES","De l'infraction","Du cumul d'infractions","Les peines complémentaires et les mesures de sûreté sont exécutées cumulativement lorsqu'elles sont identiques et temporaires; le total ne peut excéder le maximum temporaire prévu par la loi pour les faits qualifiés de crime. Si les peines complémentaires et les mesures de sûreté sont incompatibles, soit avec l'une ou l'autre des peines principales prononcées, soit entre elles, elles s'exécutent dans l'ordre indiqué par le juge, sauf si la loi en dispose autrement. . Pour l'application de I'alinéa 1 du présent article, il est tenu compte des peines résultant des commutations par voie de grâce, à l'exclusion des peines originellement prononcées."
"42","DISPOSMONS GENERALES","De l'infraction","De la récidive","Lorsqu'un même fait est susceptible de plusieurs qualifications et dans le cas où les infractions commises comprennent des éléments constitutifs distincts, ce fait peut être soumis au juge sous ses différentes qualifications. Cependant, il ne peut donner lieu qu'à une poursuite unique et sanctionné sous la plus haute qualification."
"43","DISPOSMONS GENERALES","De l'infraction","De la récidive","Est en.état de récidive, tout individu condamné pour crime ou délit qui commet un nouveau crime de même catégorie que le premier dans un délai de dix (10) ans ou un nouveau délit de même catégorie dans un délai de trois (03) ans, délai à compter du jour où la première condamnation est devenue définitive."
"44","DISPOSMONS GENERALES","De l'infraction","De la récidive","Les infractions sont classées en catégories suivant qu'elles portent atteinte: 1) aux personnes ; 2) à la famille; 3) aux mœurs ; 4) aux biens ; 5) à l'autorité de l'Etat ; 6) à la paix publique; 7) au trésor public, au domaine public ou à l'économie nationale; 8) à la sécurité de l'Etat"
"4","DISPOSMONS GENERALES","De l'infraction","De la participation à l'infraction","S : En cas de récidive, le maximum des peines d'amende et des peines privatives de liberté, y compris le maximum de la réclusion à temps, est porté au double. Dans le cas où la loi le prévoit expressément, toute condamnation antérieure, prononcée dans un Etat étranger, peut être prise en considération pour établir la récidive. En cas de concours entre la récidive et une circonstance aggravante, celle-ci passe avant la récidive. La récidive n'est applicable aux contraventions qu'en vertu de dispositions particulières de la loi ou du règlement. Paragraphe 1 : De la tentative"
"46","DISPOSMONS GENERALES","De l'infraction","De la participation à l'infraction","La tentative d'un crime ou d'un délit est punissable comme l'infraction consommée dès lors qu'elle aura été manifestée par un commencement d'exécution, si elle n'a été suspendue ou n'a manqué son effet que par des circonstances indépendantes de la volonté de son auteur. Paragraphe 2 : De la coaction et de la complicité"
"47","DISPOSMONS GENERALES","De l'infraction","De la participation à l'infraction","Est coauteur d'une infraction celui qui, sans accomplir personnellement le fait incriminé, participe avec l'auteur et en accord avec lui à sa réalisation. L'absence chez un individu d'une qualité ou circonstance personnellement nécessaire à la commission d'une infraction n'empêche pas la qualité de coauteur, lorsqu'en toute connaissance de cause et volonté, il s'associe à sa réalisation."
"48","DISPOSMONS GENERALES","De l'infraction","De la participation à l'infraction","Sont considérés comme complices de l'infraction ceux qui, sciemment, ont: 1) donné des renseignements ou instructions pour la commettre ou provoqué à sa réalisation en usant de dons, promesses, menaces, abus d'autorité ou de pouvoir, machination ou artifices coupables; 2) procuré des instruments, armes, véhicules ou tout autre moyen utile à la préparation, la consommation de l'infraction ou pour favoriser l'impunité de ses auteurs ; 3) aidé ou assisté en connaissance de cause, directement ou indirectement, les auteurs ou coauteurs de l'infraction dans les faits qui l'ont préparée, facilitée ou consommée."
